sh;st0;st1;st2;st3;st4;st5;st6;st7;st8;st9;st10;st11;st12;st13
2535.99;0;8.53;4.69;11.45;6.49;2.97;15.49;19.41;8.77;4.53;15.34;10.44;11.3;4.78
2577.73;0;9.53;5.09;11.56;7.3;3.15;16.43;22.37;8.77;4.81;15.49;11.45;12.45;5.27
2610.9;0;9.93;5.01;11.46;7.78;3.43;16.8;21.03;8.69;5.71;15.3;11.38;16.76;5.56
2651.86;0;11.56;5.09;11.45;7.64;3.43;16.84;18.76;8.59;5.82;15.9;10.9;17.26;5.82
2748.03;0;11.41;4.86;10.23;7.71;2.78;17.79;19.14;8.12;6.85;15.67;10.03;16.33;7.18
2737.47;0;11.53;5.32;10.36;8.28;2.97;18.08;20.17;8.29;8.47;17.14;11.13;16.56;7.8
2604.96;0;10.84;5.12;11.15;8.45;2.95;17.26;21.05;7.79;9.45;15.76;11.84;17.2;8.17
2545.72;0;11.57;5.55;10.36;8.61;2.86;17.35;21.48;7.1;10.91;15.25;12.73;16.95;8.91
2592.37;0;10.99;5.66;10.45;8;2.99;17.58;23.87;7.37;13.2;14.99;12.64;15.93;8.61
2502.49;0;10.09;5.26;9.41;7.68;3.05;16.54;25.67;7.16;12.99;14.19;13.25;15;9.53
2613.1;0;10.93;5.63;9.56;8.14;3.03;18.45;27.59;7.97;12.56;14.97;13.35;15.02;9.54
2493.19;0;10.47;5.14;9.05;7.61;2.92;18.34;26.48;7.81;12.89;13.65;13.24;16.03;9.99
2485.31;0;10.77;6.59;9.32;6.79;2.98;17.27;26.71;8.1;13.66;13.65;13.2;16.47;9.51
2458.47;0;9.95;5.55;9.28;6.67;2.91;16.63;26.54;8.48;14.56;13.22;14.78;14.65;9.54
2495.58;0;9.95;6.07;9.17;6.81;2.97;17.89;29.26;8.16;18.56;13.61;15.85;13.95;12.55
2525.98;0;9.69;6.15;9.33;6.88;2.97;18.2;32.15;8.54;20.8;15.28;15.38;14.4;12.27
2530.77;0;10.28;6.72;10.31;7.67;3.02;20.6;31.98;8.4;18.91;15.23;16.15;15.14;11.76
2609.61;0;10.76;6.91;10.74;7.71;3.35;21.22;35.84;9.77;17.8;16.67;15.81;15.27;12.61
2599.59;0;11.76;7.08;10.48;7.67;3.27;20.96;39.71;10;19.12;17.11;15.65;15.25;13.13
2602.62;0;11.66;6.99;10.48;7.71;3.39;20.5;35.24;10.9;18.2;15.7;14.41;15.97;11.19
2399.94;0;10.61;8.35;8.93;7.01;3.39;18.64;37.34;9.25;15.7;14.3;13.97;16.83;12.03
2321.47;0;9.91;8.16;8.42;8.06;3.39;18.87;35.15;9.92;15.7;14.16;13.79;15.19;12.04
2160.74;0;9.06;8.19;7.72;8.35;3.39;19.4;36.95;9.97;15.7;12.94;13.74;12.53;11.65
2221.98;0;9.41;8.91;8.72;9.38;3.39;19.44;39.29;10.91;15.7;13.67;13.93;16.03;13.82
2326.69;0;9.56;9.55;8.76;9.17;3.39;19.1;37.95;11.54;15.7;15.81;13.99;16.83;13.83
2245.33;0;9.88;9.55;8.63;9.76;3.39;18.5;36.6;10.74;15.7;14.41;16.4;17.24;14.96
2237.68;0;9.69;9.55;8.63;9.7;3.39;19.09;36.47;10.54;15.7;14.32;17.3;16.5;16.95
2245.36;0;9.15;9.55;9.38;9.44;3.39;18.25;36.28;10.94;15.7;14.29;17.36;15.75;16.94
2276.78;0;9.13;9.55;9.29;9.19;3.39;18.59;42.54;11.11;15.7;14.82;17.39;15.94;17.54
2321.58;0;9.02;9.55;9.62;8.92;3.39;18.6;42.3;11.64;15.7;15.6;17.77;16.1;15.91
2303.93;0;8.93;9.55;9.06;9.29;3.39;18.26;43;11.41;15.7;15.27;18.77;16.11;16.4
2318.31;0;9.43;14.23;8.63;9.34;4.11;18.05;42.3;11.74;15.7;15.22;19.25;16.14;16.73
